,start,end,x,y,bezit
800,1841.0183906244001,1849.6387098249,1,2, TEG
804,1847.1461538491,1852.1312666006,2,2, TEG
805,1849.6387106248999,1857.5230694376999,1,2, TEG
806,1854.5230694376999,1859.2991009010998,1,3, TEG
815,1861.8191961289,1869.0350939208,3,2,NEC
819,1866.0350939208,1873.9391832366,2,2,NEC
822,1870.9391832366,1877.0831239903,1,2,NEC
823,1874.0831239903,1880.6991796428,2,2,NEC
827,1877.6991796428,1888.1307838235998,3,3,NEC
831,1885.1307838235998,1899.1232242181,2,4,NEC
836,1901.1469132844,1927.8549241795001,1,4,NEC
844,1927.8549249795,1948.8187221007001,1,4,NEC
854,1947.3871238329998,1955.7389630701998,2,2, TEG
861,1954.0348988072,1960.8110338522001,1,3,NEC
865,1957.8110338522001,1961.4190878873999,2,1,NEC
866,1959.2429626998999,1968.8187020619,2,2,NEC
872,1965.8187020619,1974.8508680139998,3,2,NEC
876,1971.8508680139998,1980.2510470422,1,2,NEC
877,1977.2510470422,1986.7870673305,2,2,NEC
882,1985.0828476494,1988.4912878116,3,2,NEC
883,1986.7870681304998,1998.8669138812,2,2,NEC
886,1995.8669138812,2001.2272249789,2,3,NEC
890,1999.4911696985,2010.6988452557998,2,1, TEG
897,2008.7951008815,2014.4989723889003,2,3,NEC
900,2011.4989723889003,2016.3069023676999,2,1,NEC
903,2014.9548491901999,2023.3634724945002,1,2,NEC
907,2020.3634724945002,2034.3152365659,2,2,NEC
911,2031.3152365659,2042.810932815,1,2,NEC
915,2039.810932815,2047.667321075,2,4,NEC
917,2045.2831834774,2051.283090735,2,2, TEG
920,2048.283090735,2054.5229446399,1,2, TEG
930,2053.6753763204,2060.9711524454,3,2,NEC
934,2057.9711524454,2064.2749544166,2,2,NEC
937,2061.2749544166,2075.3307008539,1,3,NEC
941,2072.3307008539,2079.2589454907998,2,4,NEC
944,2077.1471195202,2082.0749330046,1,1, TEG
949,2079.9628461807997,2088.4429026547,3,3,NEC
957,2091.9306776219,2098.3625033642,1,2, TEG
960,2095.3625033642,2100.6190787942,2,2, TEG
962,2097.6190787942,2104.954926463,3,2, TEG
965,2101.954926463,2113.4270288977,2,2, TEG
966,2110.4270288977,2120.7306730074,3,2, TEG
968,2117.7306730074,2128.1228674001,2,2, TEG
970,2125.1228674001,2130.8987014635,1,3, TEG
974,2129.7150875342,2135.7150342678,2,2,NEC
977,2132.7150342678,2140.8987808074,1,2,NEC
979,2137.8987808074,2143.9872866568,3,3,NEC
983,2145.57110466,2155.91489373,3,3,NEC
986,2152.91489373,2161.6591245681,2,2,NEC
994,2176.074580597,2182.2904200593,1,2, TEG
996,2179.2904200593,2183.9473606860997,1,3, TEG
1000,2182.0033045231,2187.2913556462,2,2,NEC
1008,2196.2748521698,2206.6183968558,2,1, TEG
1011,2203.6183968558,2209.6270275224,3,3, TEG
1015,2208.1870296795,2215.3867716751997,1,2,NEC
1019,2212.9307905595997,2216.4027962570003,2,2, TEG
1022,2213.4027962570003,2222.1071732235,3,2, TEG
1023,2219.1071732235,2229.7548916657997,3,3, TEG
1028,2246.2743841008,2254.6021207281,3,4, TEG
1030,2251.6021207281,2256.0593113573,2,4, TEG
1035,2255.1312873947,2263.0110625895,3,1,NEC
1038,2260.0110625895,2266.4669666596,2,1,NEC
1040,2263.4669666596,2271.7150089532,2,2,NEC
1043,2268.7150089532,2274.9228241142,3,2,NEC
1044,2271.9228241142,2277.2187484071,3,3,NEC
1046,2275.0351700051,2279.0511841531,1,2, TEG
1049,2276.0511841531,2282.635007442,2,2, TEG
1050,2279.635007442,2287.4027997866,2,3, TEG
1051,2284.4027997866,2290.2110694225,2,2, TEG
1053,2287.2110694225,2292.0669237525,1,2, TEG
1054,2289.0669237525,2296.7867480429,1,3, TEG
1057,2293.7867480429,2298.6513531938,2,4, TEG
1062,2297.5792562028,2303.4910604608,2,2,NEC
1065,2301.2830839757003,2306.3870371369,2,3, TEG
1068,2303.3870371369,2310.2749194989,2,4, TEG
1076,2309.5627996188,2321.3068296896,3,1,NEC
1079,2318.3068296896,2324.70676201,3,2,NEC
1083,2329.6024556277,2337.4831571175,1,3, TEG
1086,2334.4831571175,2346.1387858937,2,3, TEG
1090,2343.1387858937,2352.5867624613,2,1, TEG
1094,2434.2911011460997,2451.2189392683,3,4,NEC
1102,2461.7431926173,2471.318833988,3,4,NEC
1105,2468.318833988,2473.3312250013,2,4,NEC
1108,2472.555215632,2477.3471380808,2,3, TEG
1111,2475.2510661085003,2484.9233845481,2,2,NEC
1117,2481.9233845481,2489.875037925,2,1,NEC
1120,2486.875037925,2496.5712255728,1,2,NEC
1123,2493.5712255728,2502.9873691725,2,2,NEC
1126,2499.9873691725,2507.8590883222,1,2,NEC
1128,2504.8590883222,2513.7069496617,2,2,NEC
1132,2510.7069496617,2516.9472611310002,1,3,NEC
1136,2514.9951743668,2521.9070040562,3,2, TEG
1142,2520.0829619165,2527.9470125623,1,3,NEC
1148,2529.2108246169,2540.3631211819,1,3,NEC
1155,2537.3631211819,2541.1312435067002,2,2,NEC
1156,2538.1312435067002,2546.2509458957,3,3,NEC
1158,2543.2509458957,2547.8834150489997,2,4,NEC
1160,2544.8834150489997,2552.6831296663,1,4,NEC
1161,2549.6831296663,2559.6587263352,2,4,NEC
1166,2556.6587263352,2563.4832115321,1,4,NEC
1168,2560.4832115321,2565.4272789031,2,4,NEC
1169,2562.4272789031,2567.6750322568,2,3,NEC
1171,2564.6750322568,2573.2990243957,1,3,NEC
1173,2570.2990243957,2588.3704341904,1,4,NEC
1179,2585.3704341904,2600.4746852835997,3,4,NEC
1184,2597.4746852835997,2615.4911378082,2,4,NEC
1186,2640.1859756281,2649.5937677493,2,2, TEG
1189,2646.5937677493,2655.3069382152,1,3, TEG
1190,2652.3069382152,2658.0267891537,1,2, TEG
1192,2655.0267891537,2665.1704849385,2,1, TEG
1193,2662.1704849385,2668.5952482027,2,2, TEG
1195,2665.5952482027,2671.7550662998,3,3, TEG
1197,2668.7550662998,2676.3388776825,3,4, TEG
1199,2673.3388776825,2684.9070416307,2,3, TEG
1206,2721.7307807942,2731.3784114394,3,3, TEG
1208,2728.3784114394,2736.3150607999,2,4, TEG
1216,2736.5308676605,2741.170791744,2,1,NEC
1219,2745.6990635066,2756.9631263492997,2,1,NEC
1224,2753.9631263492997,2759.875042909,2,3,NEC
1228,2757.5710169264003,2762.8591493213003,2,2, TEG
1232,2760.6751685793,2767.9869139935,2,3,NEC
1241,2808.0370518879,2820.1566901278998,2,2,NEC
1247,2817.1566901278998,2824.5290243453005,2,1,NEC
1250,2822.1129423365,2828.2167937894,2,2, TEG
1253,2825.2167937894,2831.0487579811997,1,2, TEG
1254,2828.0487579811997,2834.8010186121,2,1, TEG
1255,2831.8010186121,2841.2328100795003,1,2, TEG
1258,2838.2328100795003,2844.6009474005,2,1, TEG
1261,2844.6009482004997,2852.3608918084997,2,1, TEG
1264,2852.3608926085,2862.5847537759005,2,1, TEG
1269,2859.5847537759005,2864.9931076909,2,3, TEG
1276,2865.7849334884004,2869.2651321446997,1,3,NEC
1277,2866.2651321446997,2870.552876002,1,2,NEC
1284,2875.9691029009996,2884.1448163395003,3,2, TEG
1285,2881.1448163395003,2885.5693485312,2,2, TEG
1286,2882.5693485312,2890.2250461,1,2, TEG
1287,2887.2250461,2899.5926855053003,2,2, TEG
1289,2896.5926855053003,2902.9612168471003,3,2, TEG
1290,2899.9612168471003,2909.8810421632,2,2, TEG
1293,2906.8810421632,2911.6332434495002,2,3, TEG
1295,2908.6332434495002,2913.6732040621996,1,3, TEG
1296,2910.6732040621996,2917.6331562469,1,4, TEG
1297,2914.6331562469,2923.8247687046996,2,4, TEG
1303,2951.5679459318,2956.9278370824,3,4, TEG
1304,2953.9278370824,2962.0648908462,2,4, TEG
1307,2966.9730905259003,2990.9323097464003,2,1,NEC
1313,2987.9323097464003,2996.8409200245,2,3,NEC
1316,2993.8409200245,3000.5287922928005,2,4,NEC
1319,2997.5287922928005,3005.6969522893,1,4,NEC
1321,3002.6969522893,3009.128784039,2,4,NEC
1325,3007.2407637673,3010.7128385148,2,1, TEG
1326,3007.7128385148,3014.4090322022,2,2, TEG
1333,3012.7850025306,3017.8089484217,2,2,NEC
1336,3014.8089484217,3018.7689873147997,1,2,NEC
1337,3015.7689873147997,3020.9693174736,2,1,NEC
1343,3025.2569839925,3031.8890839466,1,2,NEC
1345,3028.8890839466,3042.2249493696995,2,2,NEC
1352,3049.3369577041,3052.9529936534004,2,1, TEG
