,start,end,x,y,bezit,code
188,1418.6299987278,1424.6263587078,2,3, TEG,Nothing
189,1423.9542345433,1430.7541113761,1,1,NEC,Nothing
190,1430.6183642076999,1440.0420903657,2,2,NEC,Nothing
191,1437.0420903657,1442.8578963714,1,2,NEC,Nothing
192,1440.8023952376998,1445.6904142252,3,3, TEG,Nothing
193,1447.1462410962,1459.0542948343,2,2,NEC,Nothing
194,1456.0542948343,1467.2024042329,3,2,NEC,Nothing
195,1464.2024042329,1468.8664347492002,2,2,NEC,Nothing
196,1466.8822972737,1470.4583016267002,2,3, TEG,Nothing
197,1467.4583016267002,1477.1540242117,2,2, TEG,Nothing
198,1474.1540242117,1480.43437121,2,1, TEG,Nothing
199,1477.43437121,1485.2420401285,1,1, TEG,Nothing
200,1482.2420401285,1487.5700665252,2,2, TEG,Nothing
201,1484.5700665252,1489.0747015619,3,2, TEG,Nothing
202,1486.0747015619,1491.9386227191,2,3, TEG,Nothing
203,1488.9386227191,1497.6103622955,3,3, TEG,Nothing
204,1497.9865639589002,1505.9384006834,1,1,NEC,Nothing
205,1508.1065203565,1526.0902466675,1,1,NEC,Nothing
206,1523.9942236552,1531.8259169814,3,3, TEG,Nothing
207,1532.1546907989002,1547.6745579701,1,2,NEC,Nothing
208,1546.0024300741,1553.6421408101,3,2, TEG,Nothing
209,1555.3463904939001,1565.4181060581,3,2, TEG,Nothing
210,1572.1542508887,1579.2580884842998,2,2, TEG,Nothing
211,1576.2580884842998,1584.1385914832001,3,2, TEG,Nothing
212,1581.1385914832001,1593.466016208,2,1, TEG,Nothing
213,1590.466016208,1595.4506360939001,1,3, TEG,Nothing
214,1593.7225183322,1598.1063801331,3,2,NEC,Nothing
215,1598.1784176615,1612.0663876518,3,3,NEC,Nothing
216,1640.0465458699,1655.8459601531,2,3,NEC,Nothing
217,1652.8459601531,1659.7462746582,2,4,NEC,Nothing
218,1662.0741426754,1665.5220037737,2,1, TEG,Nothing
219,1662.5220037737,1670.3141993729998,2,2, TEG,Nothing
220,1667.3141993729998,1672.4341467999,3,2, TEG,Nothing
221,1669.4341467999,1678.6339190944,2,1, TEG,Nothing
222,1676.169789257,1680.6983802254001,2,2,NEC,Nothing
223,1677.6983802254001,1682.8183344172,2,3,NEC,Nothing
224,1680.4103004356,1683.9862600048002,2,2, TEG,Nothing
225,1680.9862600048002,1687.7461807135,2,3, TEG,Nothing
226,1684.7461807135,1688.3382027276,1,3, TEG,Nothing
227,1686.7541375117999,1706.7541375117999,0,0,NEC,Goal TEG
228,1686.9227020086998,1692.6186474489002,3,2,NEC,Nothing
229,1690.3464595513,1694.2664286153,1,3, TEG,Nothing
230,1691.2664286153,1697.4502855202,1,4, TEG,Nothing
231,1694.4502855202,1703.6580739932,2,4, TEG,Nothing
232,1752.4984709042,1761.0342030954998,2,2,NEC,Nothing
233,1758.0342030954998,1766.2904248029001,3,3,NEC,Nothing
234,1766.7942267651001,1777.5703605378,3,3,NEC,Nothing
235,1775.2265492287,1786.2660744448,1,2, TEG,Nothing
236,1788.9462335926,1795.4340547213,3,3,NEC,Nothing
237,1792.4340547213,1799.4342510799,3,4,NEC,Nothing
238,1800.2101124603,1814.8017964892001,3,4,NEC,Nothing
239,1811.8017964892001,1820.6342014891,2,4,NEC,Nothing
240,1817.6342014891,1824.6660885672,2,3,NEC,Nothing
241,1821.6660885672,1827.642673817,2,1,NEC,Nothing
242,1824.642673817,1832.1224553345999,2,2,NEC,Nothing
243,1829.1224553345999,1847.3298290125,2,1,NEC,Nothing
244,1844.3298290125,1853.2424780866,2,3,NEC,Nothing
245,1863.6018541151002,1883.5850617862,2,2, TEG,Nothing
246,1880.5850617862,1887.6462188132,3,3, TEG,Nothing
247,1884.7782485667,1890.5141898595998,2,2, TEG,Nothing
248,1887.6462196132002,1895.8978462359,3,3, TEG,Nothing
249,1892.8978462359,1897.6906829277,2,2, TEG,Nothing
250,1894.6906829277,1906.4346786047,1,3, TEG,Nothing
251,1906.7385021753,1911.538406711,1,3, TEG,Nothing
252,1908.538406711,1912.0263436954,1,2, TEG,Nothing
253,1909.0263436954,1926.3383057623,2,2, TEG,Nothing
254,1923.3383057623,1929.2982712653,2,3, TEG,Nothing
255,1926.2982712653,1939.7542436149,1,4, TEG,Nothing
256,1946.794160771,1962.1217174043,1,4, TEG,Nothing
257,1959.1217174043,1962.7944681945999,2,4, TEG,Nothing
258,1960.2104762487,1971.7060592648002,2,1,NEC,Nothing
259,1968.7060592648002,1972.9459636974,1,3,NEC,Nothing
260,1969.9459636974,1977.098507064,1,2,NEC,Nothing
261,1974.098507064,1983.8341784432998,2,1,NEC,Nothing
262,1980.8341784432998,1985.5946476169,2,2,NEC,Nothing
263,1982.5946476169,1988.9384894195002,1,3,NEC,Nothing
264,1985.9384894195002,1991.9223336209,2,3,NEC,Nothing
265,1988.9223336209,1995.9306300974,3,3,NEC,Nothing
266,1992.9306300974,2001.6902427826,2,4,NEC,Nothing
267,1999.4022530422,2005.9863475711,2,1, TEG,Nothing
268,2002.9863475711,2006.858349674,1,2, TEG,Nothing
269,2003.858349674,2013.7860585673002,2,2, TEG,Nothing
270,2010.7860585673002,2015.2745504393,1,2, TEG,Nothing
271,2012.2745504393,2016.3063645009,2,1, TEG,Nothing
272,2016.3063653008999,2028.5856909854,2,1, TEG,Nothing
273,2025.5856909854,2037.270227816,2,3, TEG,Nothing
274,2038.5704340149,2044.3943038242,2,1,NEC,Nothing
