;start;end;code;label.0;label.1;label.2;label.3;label.4;label.5;label.6;label.7;label.8;label.9;label.10;label.11;label.12;label.13;label.14;label.15;label.16;label.17;label.18;label.19;label.20;label.21;label.22;label.23;label.24;label.25;label.26;label.27;label.28;label.29;label.30;label.31;label.32;label.33;label.34;label.35;label.36;label.37;label.38;label.39;label.40;label.41;label.42;label.43;label.44;label.45;label.46;label.47;label.48;label.49;label.50;label.51;label.52;label.53;label.54;label.55;label.56;label.57;label.58;label.59;label.60;label.61;label.62;label.63;label.64;label.65;label.66;label.67;label.68;label.69;label.70;label.71
2090;47.936.409.738.506;48.045.127.921.952;NEC;['Startzone NEC', 'R3 TEG'];['Naar speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Van speler'];['Naar speler', '9c22deb258fa4a55bb736b89a40004d5'];['Van speler'];['Naar zone', 'L2 NEC'];['Naar speler', 'gAAAAABYrzOUOTRugGK4u8cjcl60I8vjDVJstq7eg1TC3R8eeT4TKcubEQWcFxEppjQ7AvbZhcdnr1yLTAHw184kNAHQ1Vr2rw=='];['Van speler', '9c22deb258fa4a55bb736b89a40004d5'];['Naar zone', 'M2 NEC'];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2091;47.937.609.573.265;48.105.127.921.952;gAAAAABYrzOUOTRugGK4u8cjcl60I8vjDVJstq7eg1TC3R8eeT4TKcubEQWcFxEppjQ7AvbZhcdnr1yLTAHw184kNAHQ1Vr2rw==;['Van speler', '9c22deb258fa4a55bb736b89a40004d5'];['Naar zone', 'M2 NEC'];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2092;47.939.171.234.334;48.047.291.027.436.900;gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA==;['Van speler'];['Naar speler', '9c22deb258fa4a55bb736b89a40004d5'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2093;47.956.409.738.506;48.045.127.921.952;OMSCH aanvallen;['Startzone NEC', 'R3 TEG'];['Naar speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Van speler'];['Naar speler', '9c22deb258fa4a55bb736b89a40004d5'];['Van speler'];['Naar zone', 'L2 NEC'];['Naar speler', 'gAAAAABYrzOUOTRugGK4u8cjcl60I8vjDVJstq7eg1TC3R8eeT4TKcubEQWcFxEppjQ7AvbZhcdnr1yLTAHw184kNAHQ1Vr2rw=='];['Van speler', '9c22deb258fa4a55bb736b89a40004d5'];['Naar zone', 'M2 NEC'];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2094;47.956.409.738.506;47.996.409.738.506;Balwinst;['Startzone NEC', 'R3 TEG'];['Naar speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Van speler'];['Naar speler', '9c22deb258fa4a55bb736b89a40004d5'];['Van speler'];['Naar zone', 'L2 NEC'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2095;47.963.610.743.519;4.801.272.930.438;L2 NEC;['Naar speler', 'gAAAAABYrzOUOTRugGK4u8cjcl60I8vjDVJstq7eg1TC3R8eeT4TKcubEQWcFxEppjQ7AvbZhcdnr1yLTAHw184kNAHQ1Vr2rw=='];['Van speler', '9c22deb258fa4a55bb736b89a40004d5'];['Naar zone', 'M2 NEC'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2096;47.966.409.738.506;47.976.409.738.506;Start;['Startzone NEC', 'R3 TEG'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2097;4.798.272.930.438;48.045.127.921.952;M2 NEC;['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2098;48.005.127.921.952;48.095.925.884.064;TEG;['Startzone TEG', 'M2 NEC'];['Naar zone', 'M4 TEG'];['Rendement', 'Balwinst'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2099;48.025.127.921.952;48.095.925.884.064;OMSCH verdedigen;['Startzone TEG', 'M2 NEC'];['Naar zone', 'M4 TEG'];['Rendement', 'Balwinst'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2100;48.025.127.921.952;48.065.127.921.952;Balverlies;['Startzone TEG', 'M2 NEC'];['Naar zone', 'M4 TEG'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
