,start,end,x,y,bezit,code
159,991.2399080931,995.6838518457,2,4, TEG,Nothing
160,1011.1210435797,1017.5606911722,3,4, TEG,Nothing
161,1014.5606911722,1020.8130404497999,2,4, TEG,Nothing
162,1019.2050489952001,1022.5409092123,2,1,NEC,Nothing
163,1019.5409092123,1027.2527309847,1,2,NEC,Nothing
164,1024.2527309847,1031.118371584,1,3,NEC,Nothing
165,1029.3943448184,1032.8423991497,1,2,NEC,Nothing
166,1031.118372384,1043.6480147048,1,3,NEC,Nothing
167,1045.2157447350999,1053.4797139252,1,3,NEC,Nothing
168,1050.4797139252,1058.9326761892999,1,4,NEC,Nothing
169,1056.6366073392,1062.8204507919,3,1, TEG,Nothing
170,1059.8204507919,1064.5386432667,2,2, TEG,Nothing
171,1080.7218855445,1084.2898997662,2,2, TEG,Nothing
172,1081.2898997662,1094.6844261254,3,2, TEG,Nothing
173,1091.6844261254,1103.4992361787,2,1, TEG,Nothing
174,1100.4992361787,1106.6512566757,3,2, TEG,Nothing
175,1109.8249744291,1128.5095475198,1,2,NEC,Nothing
176,1125.5095475198,1131.8694363454,2,3,NEC,Nothing
177,1128.8694363454,1133.0036423529,3,3,NEC,Nothing
178,1130.0036423529,1135.8195941942,2,4,NEC,Nothing
179,1134.371503742,1137.9314112425,2,1, TEG,Nothing
180,1134.9314112425,1140.2832982623,1,1, TEG,Nothing
181,1137.2832982623,1142.3232090981,1,2, TEG,Nothing
182,1140.9770202429,1153.8806361197,2,3,NEC,Nothing
183,1216.1145527344,1221.5146425875,2,1,NEC,Nothing
184,1218.5146425875,1228.4262365621,2,2,NEC,Nothing
185,1225.4262365621,1233.5433816319,1,2,NEC,Nothing
186,1230.5433816319,1240.6709933009,1,3,NEC,Nothing
187,1252.0002219347,1260.9360309189,3,2, TEG,Nothing
188,1257.9360309189,1263.7917911972,2,2, TEG,Nothing
189,1260.7917911972,1271.1507165855,1,2, TEG,Nothing
190,1281.4300886131,1290.6218273284,1,2, TEG,Nothing
191,1288.3775417561,1291.7297130173,3,3,NEC,Nothing
192,1288.7297130173,1296.0813705362,2,3,NEC,Nothing
193,1309.5689118604,1319.0405446309,2,1, TEG,Nothing
194,1316.0405446309,1319.2661822869,3,3, TEG,Nothing
195,1317.2821526846,1321.2502126892,2,3, TEG,Nothing
196,1319.2661830869001,1325.3859828458,3,3, TEG,Nothing
197,1322.3859828458,1330.4418034868,2,3, TEG,Nothing
198,1327.4418034868,1333.0367646302,1,3, TEG,Nothing
199,1333.0367654302001,1364.6970231204,1,3, TEG,Nothing
200,1364.0090908932,1376.5832316395001,1,4, TEG,Nothing
201,1374.3433008466,1386.5509281913,2,2,NEC,Nothing
202,1385.5567356017002,1390.6366562345002,2,2, TEG,Nothing
203,1387.6366562345002,1397.1244100307001,2,3, TEG,Nothing
204,1395.8982228672,1402.8502088982,2,2,NEC,Nothing
205,1399.6550652675,1419.6550652675,0,0,NEC,Goal NEC
206,1399.8502088982,1412.3857622499,1,4,NEC,Nothing
207,1409.3857622499,1416.1029902064001,2,4,NEC,Nothing
208,1464.9250812412,1475.4745815852,2,2, TEG,Nothing
209,1472.4745815852,1481.2263551165,3,2, TEG,Nothing
210,1478.2263551165,1485.5120989902,3,4, TEG,Nothing
211,1506.1113340635,1512.4470292835001,3,4, TEG,Nothing
212,1509.4470292835001,1519.5057632892,2,4, TEG,Nothing
213,1524.5266797995998,1546.3261434273002,2,1,NEC,Nothing
214,1543.3261434273002,1548.6499738495002,2,3,NEC,Nothing
215,1545.6499738495002,1548.9697705412,3,3,NEC,Nothing
216,1547.4659409395001,1557.5696514313001,1,2, TEG,Nothing
217,1554.5696514313001,1562.3751155251,1,4, TEG,Nothing
218,1570.2307741603,1575.7368602533,1,4, TEG,Nothing
219,1575.7368610533,1582.8591551752,1,4, TEG,Nothing
220,1579.8591551752,1591.7547044251999,2,4, TEG,Nothing
221,1600.8156133917998,1616.0311951589001,1,4, TEG,Nothing
222,1613.0311951589001,1628.2088332794,2,4, TEG,Nothing
223,1627.9766180712,1633.6326765886,2,1,NEC,Nothing
224,1630.6326765886,1636.7908107148999,2,2,NEC,Nothing
225,1633.7908107148999,1641.6864608072,3,3,NEC,Nothing
226,1638.6864608072,1642.8225109317002,2,3,NEC,Nothing
227,1639.8225109317002,1654.0839761841,3,2,NEC,Nothing
228,1658.0518104179998,1676.3281568265,2,2, TEG,Nothing
229,1673.7841029207998,1686.6538099383,3,1,NEC,Nothing
230,1745.4484123753,1759.3255466616001,3,2,NEC,Nothing
231,1756.3255466616001,1760.7494703348998,2,3,NEC,Nothing
232,1757.7494703348998,1764.1893911164002,3,3,NEC,Nothing
233,1761.1893911164002,1768.0291712404999,2,4,NEC,Nothing
234,1765.915460928,1771.5871496199,1,1, TEG,Nothing
235,1777.7363018903,1789.6399156667999,3,4,NEC,Nothing
236,1787.1739829423998,1796.8617744586,1,1, TEG,Nothing
237,1793.8617744586,1803.7300662048,1,3, TEG,Nothing
238,1802.5060977829,1809.0658903117,3,2,NEC,Nothing
239,1806.7379318598998,1815.3357937909,2,3, TEG,Nothing
240,1812.6798066136998,1818.5516600972,2,2,NEC,Nothing
241,1821.5188066648002,1825.7749277692,3,2,NEC,Nothing
242,1822.7749277692,1828.3826190182,2,2,NEC,Nothing
243,1825.3826190182,1831.5584243254,1,2,NEC,Nothing
244,1828.5584243254,1834.9001896542002,1,3,NEC,Nothing
245,1831.9001896542002,1840.9401409565,2,2,NEC,Nothing
246,1837.9401409565,1848.4585902953,3,2,NEC,Nothing
247,1845.4585902953,1849.4984622579,3,3,NEC,Nothing
248,1846.4984622579,1852.0242393166,2,2,NEC,Nothing
249,1849.0242393166,1852.9520436686998,1,2,NEC,Nothing
250,1849.9520436686998,1857.0638149833999,1,3,NEC,Nothing
251,1854.0638149833999,1864.7581115163,2,4,NEC,Nothing
252,1869.9419268242002,1884.5175552035998,2,1, TEG,Nothing
253,1881.5175552035998,1887.1932915207,3,3, TEG,Nothing
254,1886.3530402681,1890.8250438041,1,2,NEC,Nothing
255,1907.8402605966,1913.8320605620002,3,3, TEG,Nothing
256,1910.8320605620002,1914.3120172671,2,4, TEG,Nothing
257,1913.0906912970001,1923.9784381469,3,2,NEC,Nothing
258,1922.664477755,1926.5363648173002,2,2, TEG,Nothing
259,1923.5363648173002,1930.4003804328,3,2, TEG,Nothing
260,1927.4003804328,1939.3279068657,2,2, TEG,Nothing
261,1939.1171944403,1944.4610971649,2,3,NEC,Nothing
262,1942.0129418144,1948.1408456637,2,2, TEG,Nothing
263,1945.1408456637,1952.6128133678,1,3, TEG,Nothing
264,1949.6128133678,1954.9778180103,1,4, TEG,Nothing
265,1951.9778180103,1962.0337229317001,2,4, TEG,Nothing
266,1972.1978691223,1985.355640077,1,1,NEC,Nothing
267,1982.355640077,1987.4754201851001,1,2,NEC,Nothing
268,1987.4754209851,1995.5049984507,1,2,NEC,Nothing
269,1995.5049992507002,2002.6167265963,1,2,NEC,Nothing
270,1999.6167265963,2005.5824295448,1,3,NEC,Nothing
271,2003.4224028006,2011.8622616492999,2,2, TEG,Nothing
272,2008.8622616492999,2013.6203890945,2,3, TEG,Nothing
273,2014.5001387905,2022.0601284502,3,3, TEG,Nothing
274,2019.0601284502,2026.1457887283,3,4, TEG,Nothing
275,2023.1457887283,2029.4097054212,3,3, TEG,Nothing
276,2026.4097054212,2031.6655161989001,2,4, TEG,Nothing
277,2029.6561694936,2038.1037865634,3,1,NEC,Nothing
278,2038.271704435,2046.4475458142,1,3, TEG,Nothing
279,2043.4475458142,2053.7324028657,1,4, TEG,Nothing
280,2055.6895375646,2078.5367873872,2,1,NEC,Nothing
281,2075.5367873872,2090.7235337642,3,3,NEC,Nothing
282,2088.0754290812,2092.6810690626003,1,1, TEG,Nothing
283,2089.6810690626003,2095.1049288001,1,2, TEG,Nothing
284,2094.2888181998,2100.0248345301998,3,3,NEC,Nothing
285,2097.0248345301998,2101.6077602223,2,3,NEC,Nothing
286,2098.6077602223,2112.3594793142,1,3,NEC,Nothing
287,2109.3594793142,2125.2748173653,1,4,NEC,Nothing
288,2122.2748173653,2133.0432584911,3,3,NEC,Nothing
289,2130.0432584911,2134.832567343,3,4,NEC,Nothing
290,2149.3839464676003,2156.2157551697,1,1, TEG,Nothing
291,2153.2157551697,2160.011153792,1,2, TEG,Nothing
292,2158.6910675151003,2162.2029547549,2,3,NEC,Nothing
293,2159.2029547549,2179.3838038170998,3,3,NEC,Nothing
